model,provider,calls,sessions,usd,input_usd,cache_read_usd,cache_write_usd,output_usd
claude-opus-4-6,anthropic,337485,4123,37313.631780999734,21.83390499999273,24373.82605099999,10331.955300000496,2586.0165249999723
claude-opus-4-7,anthropic,149438,1290,29285.160119500033,9.98341500000048,19550.394421999983,6988.368507500083,2736.4137749999963
claude-opus-4-8,anthropic,93434,647,21444.272052749977,106.87309499997745,12901.595031499966,5789.218001250013,2646.5859249999926
gpt-5.5,openai,163983,599,15696.929248000008,3507.1376800000307,10676.362367999986,0.0,1513.429200000045
claude-fable-5,anthropic,12166,88,4739.4494415,33.52988000000013,2767.791594000002,1440.0763174999981,498.05164999999994
gpt-5.4,openai,49726,575,3218.070301000008,1344.061520000004,1554.4132159999997,0.0,319.59556499999786
claude-sonnet-4-6,anthropic,40435,657,1939.224467999999,2.678390999999806,987.9791564999982,679.5739455000007,268.9929750000009
claude-opus-4-5-20251101,anthropic,17950,208,1421.8240442499994,2.4641699999999593,848.8909180000005,536.0674312500003,34.401524999999914
gpt-5.3-codex,openai,22146,565,774.978456,305.8649859999998,354.1457919999995,0.0,114.96767800000012
claude-sonnet-4-5-20250929,anthropic,12962,132,582.3011531999999,0.7332029999999972,343.81574070000005,212.16640950000024,25.585799999999935
claude-sonnet-5,anthropic,1761,7,144.78063640000008,0.5757960000000011,94.70314439999996,38.729915999999996,10.771780000000007
claude-haiku-4-5-20251001,anthropic,2490,141,55.56370214999998,0.04813400000000012,19.138037900000015,34.420285250000006,1.9572449999999977
claude-sonnet-4.6,anthropic,629,24,21.54594345,3.982758,7.440184199999999,4.10209125,6.020910000000003
gpt-5.4-mini,openai,1000,50,13.09075545,4.46170725,5.6976672,0.0,2.9313809999999996
anthropic/claude-opus-4.6,anthropic,94,5,6.9751055,4.19092,2.1602604999999997,0.0,0.6239250000000001
claude-opus-4.6,anthropic,77,3,5.920884,3.050499999999998,1.8225339999999999,0.0,1.0478500000000004
claude-haiku-4.5,anthropic,329,3,4.8481793999999985,0.0061699999999999975,1.5661468999999992,2.260072499999999,1.0157900000000002
gpt-5.3-codex-spark,openai,232,6,4.6784741499999996,1.2472477499999994,2.2031744000000004,0.0,1.2280520000000001
gpt-5.5-fast,openai,110,3,3.0194300000000003,0.61508,1.92768,0.0,0.47667
claude-sonnet-4.5,anthropic,10,1,0.26752230000000005,0.14452800000000002,0.0673743,0.0,0.05562
anthropic/claude-sonnet-4.6,anthropic,13,1,0.1861269,0.12204599999999996,0.039435899999999996,0.0,0.024645000000000004
gemini-2.5-flash,,4,1,0.0,0.0,0.0,0.0,0.0
qwen3.6-plus,,1456,6,0.0,0.0,0.0,0.0,0.0
gpt-5-mini,,5,1,0.0,0.0,0.0,0.0,0.0
gpt-5.1-codex-mini,,27,1,0.0,0.0,0.0,0.0,0.0
glm-5.2,,37,1,0.0,0.0,0.0,0.0,0.0
ling-2.6-flash-free,,7,1,0.0,0.0,0.0,0.0,0.0
big-pickle,,3525,42,0.0,0.0,0.0,0.0,0.0
glm-4.7,,327,1,0.0,0.0,0.0,0.0,0.0
gemini-3.1-pro,,1,1,0.0,0.0,0.0,0.0,0.0
glm-5.1,,419,17,0.0,0.0,0.0,0.0,0.0
qwen3.5,,6,1,0.0,0.0,0.0,0.0,0.0
benchmark-feedback,,24,4,0.0,0.0,0.0,0.0,0.0
google/gemini-3.1-pro-preview,,305,4,0.0,0.0,0.0,0.0,0.0
gemini-3.1-pro-preview,,598,27,0.0,0.0,0.0,0.0,0.0
minimax-m2.5-free,,30,4,0.0,0.0,0.0,0.0,0.0
z-ai/glm-5.1,,26,1,0.0,0.0,0.0,0.0,0.0
mimo-v2.5-free,,1008,10,0.0,0.0,0.0,0.0,0.0
nemotron-3-super-free,,217,6,0.0,0.0,0.0,0.0,0.0
gemini-3.1-pro-high,,40,1,0.0,0.0,0.0,0.0,0.0
<synthetic>,,2269,1003,0.0,0.0,0.0,0.0,0.0
exact-dodo,,355,2,0.0,0.0,0.0,0.0,0.0
claude-haiku-4-5,anthropic,1,1,0.0,0.0,0.0,0.0,0.0
glm-5,,1987,33,0.0,0.0,0.0,0.0,0.0
kimi-k2.5,,58,3,0.0,0.0,0.0,0.0,0.0
huge-cougar,,87,1,0.0,0.0,0.0,0.0,0.0
gemini-3.1-flash,,1,1,0.0,0.0,0.0,0.0,0.0
north-mini-code-free,,33,1,0.0,0.0,0.0,0.0,0.0
moonshotai/kimi-k2.6-20260420,,9,1,0.0,0.0,0.0,0.0,0.0
,,13693,161,0.0,0.0,0.0,0.0,0.0
deepseek-v4-flash-free,,309,6,0.0,0.0,0.0,0.0,0.0
moonshotai/kimi-k2-instruct,,12,1,0.0,0.0,0.0,0.0,0.0
gemini-3.5-flash,,28,2,0.0,0.0,0.0,0.0,0.0
gpt-5.2,,1,1,0.0,0.0,0.0,0.0,0.0
stealth,,152,5,0.0,0.0,0.0,0.0,0.0
gpt-5.2-codex,,2,1,0.0,0.0,0.0,0.0,0.0
