file_path_80,errors,sessions
_bmad/bmb/workflows/module/steps-e/step-01-assess.md,23,23
frontend/src/components/RemediateTab.tsx,17,8
.golangci.yml,14,14
cmd/entire/cli/setup.go,14,5
cmd/entire/cli/strategy/manual_commit_hooks.go,13,10
main.tex,12,7
cmd/entire/cli/logging/logging.go,8,8
apps/wodsmith-start/src/routes/compete/organizer/$competitionId/events/$eventId/,8,3
src/agent/index.ts,8,3
skills/ai-native-repo-bootstrap-workspace/iteration-2/eval-5-governance-heavy-do,8,3
Cee/Controllers/ImageViewController.swift,7,1
REDACTED.md,7,6
frontend/src/components/RemediationHistoryCard.tsx,7,6
src/pages/Code.tsx,7,1
Cee/Controllers/ImageWindowController.swift,7,1
cmd/entire/cli/agent/types/types.go,7,6
cmd/entire/cli/explain.go,7,4
REDACTED.output,7,3
cmd/entire/cli/validation/validators_test.go,7,1
crates/panopt/src/main.rs,6,2
