session_id,seq,k_before,k_after,agent,mode,repo,file_path,content_chars,input_chars,max_earlier_read_chars,rewrite_ratio,output_usd_estimate,stratum_pick,stratum
2cae28a4-28e8-4bfa-9225-7682543f3664,19422,10,5,claude_code,unknown,scottdensmore/MovieSwiftUI,MovieSwift/Packages/Backend/Tests/BackendTests/APIServiceTests.swift,15988,16716,5831,2.7418967587034815,0.099925,random,claude_code|unknown
492f3e72-6fd6-4a75-95a5-abf3069e973d,1047,10,5,claude_code,vibe,Bio1988/moltisown,crates/web/ui/e2e/specs/sandboxes.spec.js,15647,17790,21313,0.7341528644489279,0.09779375,random,claude_code|vibe
9b854080-5799-41cb-91c1-a3714b4bb75f,285,10,5,claude_code,human,E2E-Solution/cli,docs/architecture/hunk-level-carry-forward.md,14738,16003,9877,1.4921534879011846,0.0921125,random,claude_code|human
f5bbbbab-b049-423c-b432-d5c155a5b347,192,10,5,claude_code,unknown,frank-fs/frank,kitty-specs/001-semantic-resources-phase1/spec.md,14549,14869,126,115.46825396825396,0.09093125,random,claude_code|unknown
97b27f7f-6011-4ba8-a387-df80a0d0f427,1436,10,5,claude_code,human,marcus-sa/brain,docs/feature/intent-gated-mcp/deliver/roadmap.json,14096,14934,3826,3.6842655514898066,0.0881,random,claude_code|human
6ba200ff-f026-498c-b12d-b94ef255458f-0bf88dbfc3e5,1008,10,5,cursor,human,Toubat/arche,/Users/toubatbrian/.cursor/projects/Users-toubatbrian-Documents-GitHub-arche/canvases/waiterqueue-explainer.canvas.tsx,12814,13516,,,,random,cursor|human
eb35d8bf-ebc6-4c6c-8eb9-acfcee60f19c,1057,10,5,claude_code,human,fortuna/moltis,website/scripts/build-changelog.mjs,12783,13706,11050,1.1568325791855203,0.07989375,random,claude_code|human
f5bbbbab-b049-423c-b432-d5c155a5b347,5335,10,5,claude_code,unknown,frank-fs/frank,specs/002-phase1-fixes/spec.md,12201,12482,4772,2.5567896060352053,0.07625625,random,claude_code|unknown
d6c99475-e176-4546-b57b-ce910f802481,364,10,5,claude_code,vibe,entireio/cli-checkpoints,cmd/entire/cli/settings/load_v2.go,12022,12919,14123,0.8512355731785032,0.0751375,random,claude_code|vibe
019d4f1d-0e1e-7561-95a4-03df99f243b3,204,10,5,codex,collab,entireio/cli-checkpoints,docs/plans/2026-04-02-summary-browser.md,11899,11899,,,0.04462125,random,codex|collab
019d4f2c-d686-7be2-be93-3f7617272bb4,171,10,5,codex,unknown,entireio/cli-checkpoints,docs/plans/2026-04-02-summary-browser.md,11899,11899,,,0.04462125,random,codex|unknown
019d4f2b-21be-7bd1-88d1-db1efb76146d,171,10,5,codex,human,entireio/cli-checkpoints,docs/plans/2026-04-02-summary-browser.md,11899,11899,,,0.04462125,random,codex|human
019d80d3-9312-7982-ad8d-ddf3028c020e,848,10,5,codex,unknown,Soph/go-git,plumbing/compat/mapping_file.go,11671,11671,,,0.04376625,random,codex|unknown
019e6db7-a97a-7852-954d-feff812dcef2,104,10,5,codex,collab,socratesomiliadis/syntheci-shipping,apps/web/src/app/page.tsx,11654,11654,,,0.087405,random,codex|collab
ses_25ba963bdffeUnzAsqx26HNZ5d,432,10,5,opencode,vibe,ishaan812/reflex.md,electron/src/main/github.ts,11437,12124,,,0.07148125,random,opencode|vibe
108d2ff0-c3d9-45f9-b93e-639ac9ce9321,256,10,5,claude_code,vibe,Bio1988/moltisown,crates/gateway/src/update_check.rs,11145,11760,8469,1.3159759121501948,0.06965625,random,claude_code|vibe
450f5da9-bcce-4e2e-b30f-9804b07113f0,265,10,5,claude_code,vibe,E2E-Solution/cli,cmd/entire/cli/trail/store.go,11074,12055,,,0.0692125,random,claude_code|vibe
d305a67d-f315-4d5b-9481-8b86594e1c44,613,10,5,cursor,collab,SnowingFox/ai-skills,/Users/bytedance/dev/ai-skills/apps/web/src/app/(registry)/about/page.tsx,10602,11091,,,,random,cursor|collab
ses_190c8ffbfffei1KPJTro7tb7bH,25,10,5,opencode,vibe,galactica-labs/project-atlas,README.md,10558,12039,5707,1.8500087611704923,,random,opencode|vibe
ac4fa545-da7b-4519-8f8e-bc90a7b4bdb4,38,10,5,claude_code,vibe,135yshr/documents,articles/b32070e6b12a01.md,10096,19570,152,66.42105263157895,0.0631,random,claude_code|vibe
f02270cc-e9ef-4ef2-8c3e-9a8bc08845d4,590,10,5,claude_code,vibe,armelhbobdad/bmad-module-skill-forge,tools/cli/lib/ui.js,10086,10564,11664,0.8647119341563786,0.0630375,random,claude_code|vibe
595d8da7-a1d5-4135-ae05-921e4b62e171,193,10,5,claude_code,unknown,entireio/cli-checkpoints,/private/tmp/claude-501/-Users-soph-Work-entire-devenv-cli-experiments-2/595d8da7-a1d5-4135-ae05-921e4b62e171/scratchpad/phase2-plan.md,9940,10337,,,0.062125,random,claude_code|unknown
c5c0dfc4-ae6f-47f1-86e4-0bc92fde69e0,132,10,5,claude_code,vibe,theexperiencecompany/gaia,/Users/dhruvmaradiya/.claude/plans/system-instruction-you-are-working-tender-petal.md,9537,9867,,,0.05960625,random,claude_code|vibe
6aca4eae-0220-426b-887e-785973f04557,300,10,5,claude_code,human,cyyeh/duckdb-web,src/App.tsx,9217,9625,10982,0.8392824622108905,0.05760625,random,claude_code|human
94eea312-8dde-4715-b21b-5bcb2caefea5,330,10,5,claude_code,unknown,jolehuit/reonic-hackathon,src/lib/sizing.ts,9195,9563,1443,6.372141372141372,0.05746875,random,claude_code|unknown
019dc501-80a1-74a3-8366-beca50119213,30,10,5,codex,human,geroitscompiling/hackathon_Buena,IMPLEMENTATION_PLAN.md,9110,9110,,,0.0341625,random,codex|human
ses_178885d42ffe8daG4lOcU4Vm8r,857,10,5,opencode,vibe,Coderx85/wave,src/pages/HomePage.tsx,9076,9582,11229,0.8082643156113635,,random,opencode|vibe
019e8c4a-fce8-7c63-a3e9-08fd96884c12-e096ea147a34,2106,10,5,codex,unknown,evorto-app/app,tests/specs/finance/finance-viewports.spec.ts,9038,9038,,,0.067785,random,codex|unknown
019e8c4a-fce8-7c63-a3e9-08fd96884c12-ba3d321274cb,2106,10,5,codex,unknown,evorto-app/app,tests/specs/finance/finance-viewports.spec.ts,9038,9038,,,0.067785,random,codex|unknown
7b980acc-3f13-489f-90d4-b499be91ffd4-67a4a0d01ffc,194,10,5,claude_code,unknown,prayashm/agent-lab,backend/app/channels/telegram_poller.py,8917,9500,7491,1.1903617674542786,0.05573125,random,claude_code|unknown
0696ef34-7ff1-4c1e-9103-ffbca94f3ebd,57,10,5,claude_code,vibe,ClusterCockpit/cc-backend,pkg/metricstore/archive.go,8882,10119,11171,0.7950944409632084,0.0555125,random,claude_code|vibe
ses_178885d42ffe8daG4lOcU4Vm8r,811,10,5,opencode,vibe,Coderx85/wave,src/components/NotificationPage.tsx,8868,9388,10229,0.8669469156320266,,random,opencode|vibe
d305a67d-f315-4d5b-9481-8b86594e1c44,151,10,5,cursor,collab,SnowingFox/ai-skills,/Users/bytedance/.cursor/plans/sync_skills_to_db_13574b3f.plan.md,8835,11494,,,,random,cursor|collab
f6fd2061-fed0-47f5-808a-fa7c3192f219,619,10,5,claude_code,unknown,entireio/cli-checkpoints,cmd/entire/cli/versioncheck/autoupdate_test.go,8708,9571,10784,0.8074925816023739,0.054425,random,claude_code|unknown
